_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
8103,FY 2020-21,Canadian Broadcasting Corporation,Main Estimates,5,Payments to Crown Corps,4000000
8104,FY 2020-21,Canadian Broadcasting Corporation,Main Estimates,1,Payments to Crown Corps,1101551846
8105,FY 2020-21,Canadian Centre for Occupational Health and Safety,Main Estimates,1,Operating/Program,4814487
8106,FY 2020-21,Canadian Dairy Commission,Main Estimates,1,Operating/Program,3903550
8107,FY 2020-21,Canadian Energy Regulator,Main Estimates,1,Operating/Program,71327662
8108,FY 2020-21,Canadian Food Inspection Agency,Main Estimates,5,Capital,19669966
8109,FY 2020-21,Canadian Food Inspection Agency,Main Estimates,1,Operating/Program,567849922
8110,FY 2020-21,Canadian Grain Commission,Main Estimates,1,Operating/Program,5096321
8111,FY 2020-21,Canadian High Arctic Research Station,Main Estimates,1,Operating/Program,29453623
8112,FY 2020-21,Canadian Human Rights Commission,Main Estimates,1,Operating/Program,29037902
8113,FY 2020-21,Canadian Institutes of Health Research,Main Estimates,5,Grants & Contributions,1150267928
8114,FY 2020-21,Canadian Institutes of Health Research,Main Estimates,1,Operating/Program,57931295
8115,FY 2020-21,Canadian Intergovernmental Conference Secretariat,Main Estimates,1,Operating/Program,5531372
8116,FY 2020-21,Canadian Museum for Human Rights,Main Estimates,1,Payments to Crown Corps,25502953
8117,FY 2020-21,Canadian Museum of History,Main Estimates,1,Payments to Crown Corps,72188284
8118,FY 2020-21,Canadian Museum of Immigration at Pier 21,Main Estimates,1,Payments to Crown Corps,7895183
8119,FY 2020-21,Canadian Museum of Nature,Main Estimates,1,Payments to Crown Corps,26811201
8120,FY 2020-21,Canadian Northern Economic Development Agency,Main Estimates,5,Grants & Contributions,45339219
8121,FY 2020-21,Canadian Northern Economic Development Agency,Main Estimates,1,Operating/Program,17365446
8122,FY 2020-21,Canadian Nuclear Safety Commission,Main Estimates,1,Operating/Program,40522928
8123,FY 2020-21,Canadian Radio-television and Telecommunications Commission,Main Estimates,1,Operating/Program,5053157
8124,FY 2020-21,Canadian Security Intelligence Service,Main Estimates,1,Operating/Program,598034351
8125,FY 2020-21,Canadian Space Agency,Main Estimates,5,Capital,51745453
8126,FY 2020-21,Canadian Space Agency,Main Estimates,10,Grants & Contributions,67965000
8127,FY 2020-21,Canadian Space Agency,Main Estimates,1,Operating/Program,195845837
8128,FY 2020-21,Canadian Tourism Commission,Main Estimates,1,Payments to Crown Corps,95665913
8129,FY 2020-21,Canadian Transportation Accident Investigation and Safety Board,Main Estimates,1,Operating/Program,30034773
8130,FY 2020-21,Canadian Transportation Agency,Main Estimates,1,Operating/Program,28662545
8131,FY 2020-21,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Main Estimates,1,Operating/Program,9284989
8132,FY 2020-21,Communications Security Establishment,Main Estimates,1,Operating/Program,666283193
8133,FY 2020-21,Copyright Board,Main Estimates,1,Operating/Program,3834507
8134,FY 2020-21,Correctional Service of Canada,Main Estimates,5,Capital,187796912
8135,FY 2020-21,Correctional Service of Canada,Main Estimates,1,Operating/Program,2145688776
8136,FY 2020-21,Courts Administration Service,Main Estimates,1,Operating/Program,85028677
8137,FY 2020-21,Department for Women and Gender Equality,Main Estimates,5,Grants & Contributions,79443977
8138,FY 2020-21,Department for Women and Gender Equality,Main Estimates,1,Operating/Program,45882680
8139,FY 2020-21,Department of Agriculture and Agri-Food,Main Estimates,5,Capital,39930131
8140,FY 2020-21,Department of Agriculture and Agri-Food,Main Estimates,10,Grants & Contributions,431713100
8141,FY 2020-21,Department of Agriculture and Agri-Food,Main Estimates,1,Operating/Program,593829089
8142,FY 2020-21,Department of Canadian Heritage,Main Estimates,5,Grants & Contributions,1304800333
8143,FY 2020-21,Department of Canadian Heritage,Main Estimates,1,Operating/Program,203230981
8144,FY 2020-21,Department of Citizenship and Immigration,Main Estimates,1,Operating/Program,1053523784
8145,FY 2020-21,Department of Citizenship and Immigration,Main Estimates,10,Grants & Contributions,1553909417
8146,FY 2020-21,Department of Citizenship and Immigration,Main Estimates,5,Capital,16071270
8147,FY 2020-21,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,10,Grants & Contributions,3309017994
8148,FY 2020-21,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,1,Operating/Program,1528290836
8149,FY 2020-21,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,5,Capital,268287
8150,FY 2020-21,Department of Employment and Social Development,Main Estimates,5,Grants & Contributions,3021375616
8151,FY 2020-21,Department of Employment and Social Development,Main Estimates,1,Operating/Program,803327617
8152,FY 2020-21,Department of Finance,Main Estimates,1,Operating/Program,105471317
8153,FY 2020-21,Department of Finance,Main Estimates,5,Other,1
8154,FY 2020-21,Department of Fisheries and Oceans,Main Estimates,5,Capital,776767843
8155,FY 2020-21,Department of Fisheries and Oceans,Main Estimates,10,Grants & Contributions,714236395
8156,FY 2020-21,Department of Fisheries and Oceans,Main Estimates,1,Operating/Program,1810990505
8157,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Main Estimates,20,Other,1
8158,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Main Estimates,10,Grants & Contributions,5035414948
8159,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Main Estimates,1,Operating/Program,1897264276
8160,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Main Estimates,15,Operating/Program,71024000
8161,FY 2020-21,"Department of Foreign Affairs, Trade and Development",Main Estimates,5,Capital,113830264
8162,FY 2020-21,Department of Health,Main Estimates,5,Capital,18875187
8163,FY 2020-21,Department of Health,Main Estimates,10,Grants & Contributions,1758411277
8164,FY 2020-21,Department of Health,Main Estimates,1,Operating/Program,787559901
8165,FY 2020-21,"Department of Housing, Infrastructure and Communities",Main Estimates,5,Capital,32589953
8166,FY 2020-21,"Department of Housing, Infrastructure and Communities",Main Estimates,10,Grants & Contributions,5509279924
8167,FY 2020-21,"Department of Housing, Infrastructure and Communities",Main Estimates,1,Operating/Program,140524931
8168,FY 2020-21,Department of Indigenous Services,Main Estimates,5,Capital,6832498
8169,FY 2020-21,Department of Indigenous Services,Main Estimates,10,Grants & Contributions,10741544381
8170,FY 2020-21,Department of Indigenous Services,Main Estimates,1,Operating/Program,1949217820
8171,FY 2020-21,Department of Industry,Main Estimates,1,Operating/Program,459957408
8172,FY 2020-21,Department of Industry,Main Estimates,5,Capital,7433000
8173,FY 2020-21,Department of Industry,Main Estimates,10,Grants & Contributions,2389191705
8174,FY 2020-21,Department of Justice,Main Estimates,5,Grants & Contributions,430219581
8175,FY 2020-21,Department of Justice,Main Estimates,1,Operating/Program,262288103
8176,FY 2020-21,Department of National Defence,Main Estimates,5,Capital,5087481766
8177,FY 2020-21,Department of National Defence,Main Estimates,10,Grants & Contributions,209436939
8178,FY 2020-21,Department of National Defence,Main Estimates,15,Operating/Program,423388673
8179,FY 2020-21,Department of National Defence,Main Estimates,1,Operating/Program,16092770343
8180,FY 2020-21,Department of Natural Resources,Main Estimates,5,Capital,11608000
8181,FY 2020-21,Department of Natural Resources,Main Estimates,10,Grants & Contributions,448124943
8182,FY 2020-21,Department of Natural Resources,Main Estimates,1,Operating/Program,556830962
8183,FY 2020-21,Department of Public Safety and Emergency Preparedness,Main Estimates,5,Grants & Contributions,565749061
8184,FY 2020-21,Department of Public Safety and Emergency Preparedness,Main Estimates,1,Operating/Program,143921366
8185,FY 2020-21,Department of Public Works and Government Services,Main Estimates,5,Capital,1587143543
8186,FY 2020-21,Department of Public Works and Government Services,Main Estimates,1,Operating/Program,2316072146
8187,FY 2020-21,Department of Transport,Main Estimates,20,Grants & Contributions,40197681
8188,FY 2020-21,Department of Transport,Main Estimates,5,Capital,150604973
8189,FY 2020-21,Department of Transport,Main Estimates,10,Grants & Contributions,617297513
8190,FY 2020-21,Department of Transport,Main Estimates,1,Operating/Program,726021429
8191,FY 2020-21,Department of Transport,Main Estimates,15,Grants & Contributions,133823550
8192,FY 2020-21,Department of Veterans Affairs,Main Estimates,1,Operating/Program,1158864928
8193,FY 2020-21,Department of Veterans Affairs,Main Estimates,5,Grants & Contributions,4044621627
8194,FY 2020-21,Department of Western Economic Diversification,Main Estimates,5,Grants & Contributions,228161383
8195,FY 2020-21,Department of Western Economic Diversification,Main Estimates,1,Operating/Program,42274210
8196,FY 2020-21,Department of the Environment,Main Estimates,5,Capital,89793534
8197,FY 2020-21,Department of the Environment,Main Estimates,10,Grants & Contributions,829881990
8198,FY 2020-21,Department of the Environment,Main Estimates,1,Operating/Program,858313855
8199,FY 2020-21,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,5,Grants & Contributions,255628788
8200,FY 2020-21,Economic Development Agency of Canada for the Regions of Quebec,Main Estimates,1,Operating/Program,40468977
8201,FY 2020-21,Federal Economic Development Agency for Southern Ontario,Main Estimates,5,Grants & Contributions,218183579
8202,FY 2020-21,Federal Economic Development Agency for Southern Ontario,Main Estimates,1,Operating/Program,30390354
8203,FY 2020-21,Financial Transactions and Reports Analysis Centre of Canada,Main Estimates,1,Operating/Program,51189193
8204,FY 2020-21,House of Commons,Main Estimates,1,Operating/Program,360043935
8205,FY 2020-21,Immigration and Refugee Board,Main Estimates,1,Operating/Program,254185563
8206,FY 2020-21,Impact Assessment Agency of Canada,Main Estimates,5,Grants & Contributions,18939140
8207,FY 2020-21,Impact Assessment Agency of Canada,Main Estimates,1,Operating/Program,51710081
8208,FY 2020-21,International Development Research Centre,Main Estimates,1,Payments to Crown Corps,141848784
8209,FY 2020-21,International Joint Commission (Canadian Section),Main Estimates,1,Operating/Program,11682786
8210,FY 2020-21,Invest in Canada Hub,Main Estimates,1,Operating/Program,34291556
8211,FY 2020-21,Leaders' Debates Commission,Main Estimates,1,Operating/Program,1
8212,FY 2020-21,Library and Archives of Canada,Main Estimates,5,Capital,21753850
8213,FY 2020-21,Library and Archives of Canada,Main Estimates,1,Operating/Program,103336627
8214,FY 2020-21,Library of Parliament,Main Estimates,1,Operating/Program,47955217
8215,FY 2020-21,Marine Atlantic Inc.,Main Estimates,1,Payments to Crown Corps,55675667
8216,FY 2020-21,Military Grievances External Review Committee,Main Estimates,1,Operating/Program,6270103
8217,FY 2020-21,Military Police Complaints Commission,Main Estimates,1,Operating/Program,4372131
8218,FY 2020-21,National Arts Centre Corporation,Main Estimates,1,Payments to Crown Corps,35270142
8219,FY 2020-21,National Capital Commission,Main Estimates,5,Payments to Crown Corps,23749549
8220,FY 2020-21,National Capital Commission,Main Estimates,1,Payments to Crown Corps,66609096
8221,FY 2020-21,National Film Board,Main Estimates,1,Operating/Program,64891409
8222,FY 2020-21,National Gallery of Canada,Main Estimates,5,Payments to Crown Corps,8000000
8223,FY 2020-21,National Gallery of Canada,Main Estimates,1,Payments to Crown Corps,38673922
8224,FY 2020-21,National Museum of Science and Technology,Main Estimates,1,Payments to Crown Corps,30567380
8225,FY 2020-21,National Research Council of Canada,Main Estimates,5,Capital,56400030
8226,FY 2020-21,National Research Council of Canada,Main Estimates,10,Grants & Contributions,461135770
8227,FY 2020-21,National Research Council of Canada,Main Estimates,1,Operating/Program,454716057
8228,FY 2020-21,National Security and Intelligence Review Agency Secretariat,Main Estimates,1,Operating/Program,22801056
8229,FY 2020-21,Natural Sciences and Engineering Research Council,Main Estimates,5,Grants & Contributions,1304972077
8230,FY 2020-21,Natural Sciences and Engineering Research Council,Main Estimates,1,Operating/Program,54411479
8231,FY 2020-21,Northern Pipeline Agency,Main Estimates,1,Operating/Program,1055000
8232,FY 2020-21,Office of the Auditor General,Main Estimates,1,Operating/Program,78084524
8233,FY 2020-21,Office of the Chief Electoral Officer,Main Estimates,1,Operating/Program,48225193
8234,FY 2020-21,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,5,Operating/Program,2079634
8235,FY 2020-21,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,1,Operating/Program,9452925
8236,FY 2020-21,Office of the Commissioner of Lobbying,Main Estimates,1,Operating/Program,4115166
8237,FY 2020-21,Office of the Commissioner of Official Languages,Main Estimates,1,Operating/Program,19298567
8238,FY 2020-21,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,1,Operating/Program,6714503
8239,FY 2020-21,Office of the Correctional Investigator of Canada,Main Estimates,1,Operating/Program,4735703
8240,FY 2020-21,Office of the Director of Public Prosecutions,Main Estimates,1,Operating/Program,181447273
8241,FY 2020-21,Office of the Governor General's Secretary,Main Estimates,1,Operating/Program,20021968
8242,FY 2020-21,Office of the Intelligence Commissioner,Main Estimates,1,Operating/Program,1974788
8243,FY 2020-21,Office of the Parliamentary Budget Officer,Main Estimates,1,Operating/Program,6520482
8244,FY 2020-21,Office of the Public Sector Integrity Commissioner,Main Estimates,1,Operating/Program,5045978
8245,FY 2020-21,Office of the Senate Ethics Officer,Main Estimates,1,Operating/Program,1231278
8246,FY 2020-21,Office of the Superintendent of Financial Institutions,Main Estimates,1,Operating/Program,1211251
8247,FY 2020-21,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,5,Operating/Program,26565350
8248,FY 2020-21,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,1,Operating/Program,11641325
