_id,fy_ef,organization,estimates_document,statutory_item,authorities
6357,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),469000000
6358,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,118513335
6359,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriInvest Program,139460000
6360,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Contributions to employee benefit plans,66642453
6361,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Salary and Motor Car Allowance,90500
6362,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Loan guarantees under the Canadian Agricultural Loans Act,13111013
6363,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",104800000
6364,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Contribution payments for the AgriInsurance program,623000000
6365,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Grant and Contribution Payments for the AgriStability Program,426550000
6366,FY 2021-22,Department of Agriculture and Agri-Food,Main Estimates,Grants to agencies established under the Farm Products Agencies Act,100000
6367,FY 2021-22,Department of Canadian Heritage,Main Estimates,Contributions to employee benefit plans,25696069
6368,FY 2021-22,Department of Canadian Heritage,Main Estimates,Salary and Motor Car Allowance,92500
6369,FY 2021-22,Department of Canadian Heritage,Main Estimates,Supplementary retirement benefits - Former Lieutenant Governors,182000
6370,FY 2021-22,Department of Canadian Heritage,Main Estimates,Payments under the Lieutenant Governors Superannuation Act,637000
6371,FY 2021-22,Department of Canadian Heritage,Main Estimates,Salaries of the Lieutenant Governors,1196000
6372,FY 2021-22,Department of Citizenship and Immigration,Main Estimates,Passport Canada Revolving Fund (Revolving Funds Act),167385285
6373,FY 2021-22,Department of Citizenship and Immigration,Main Estimates,Contributions to employee benefit plans,85445770
6374,FY 2021-22,Department of Citizenship and Immigration,Main Estimates,Salary and Motor Car Allowance,90500
6375,FY 2021-22,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Contributions to employee benefit plans,23042197
6376,FY 2021-22,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Payments to comprehensive claim beneficiaries in compensation for resource royalties,1865718
6377,FY 2021-22,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,4125988
6378,FY 2021-22,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grassy Narrows and Islington Bands Mercury Disability Board,15000
6379,FY 2021-22,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Salary and Motor Car Allowance,181000
6380,FY 2021-22,Department of Employment and Social Development,Main Estimates,Payments pursuant to the Canada Recovery Benefits Act,10335000000
6381,FY 2021-22,Department of Employment and Social Development,Main Estimates,One-time payment to persons with disabilities pursuant to An Act respecting further COVID-19 measures,11340664
6382,FY 2021-22,Department of Employment and Social Development,Main Estimates,Spending of Revenues pursuant to subsection 5.2(2) of the Department of Employment and Social Development Act,223508892
6383,FY 2021-22,Department of Employment and Social Development,Main Estimates,Payments related to the direct financing arrangement under the Apprentice Loans Act,2704207
6384,FY 2021-22,Department of Employment and Social Development,Main Estimates,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",49250000
6385,FY 2021-22,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,472003897
6386,FY 2021-22,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,216736696
6387,FY 2021-22,Department of Employment and Social Development,Main Estimates,Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act),31444511
6388,FY 2021-22,Department of Employment and Social Development,Main Estimates,Contributions to employee benefit plans,280770025
6389,FY 2021-22,Department of Employment and Social Development,Main Estimates,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,980000000
6390,FY 2021-22,Department of Employment and Social Development,Main Estimates,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,180000000
6391,FY 2021-22,Department of Employment and Social Development,Main Estimates,Civil Service Insurance actuarial liability adjustments,145000
6392,FY 2021-22,Department of Employment and Social Development,Main Estimates,Universal Child Care Benefit (Universal Child Care Benefit Act),40000
6393,FY 2021-22,Department of Employment and Social Development,Main Estimates,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,1879887601
6394,FY 2021-22,Department of Employment and Social Development,Main Estimates,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,5107011
6395,FY 2021-22,Department of Employment and Social Development,Main Estimates,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-1613047
6396,FY 2021-22,Department of Employment and Social Development,Main Estimates,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,45599
6397,FY 2021-22,Department of Employment and Social Development,Main Estimates,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,1217861664
6398,FY 2021-22,Department of Employment and Social Development,Main Estimates,Allowance payments (Old Age Security Act),671647345
6399,FY 2021-22,Department of Employment and Social Development,Main Estimates,Guaranteed Income Supplement Payments (Old Age Security Act),14631701794
6400,FY 2021-22,Department of Employment and Social Development,Main Estimates,Old Age Security payments (Old Age Security Act),47067389917
6401,FY 2021-22,Department of Employment and Social Development,Main Estimates,Salary and Motor Car Allowance,273500
6402,FY 2021-22,Department of Finance,Main Estimates,Payment to the Canada Infrastructure Bank,3967976000
6403,FY 2021-22,Department of Finance,Main Estimates,Other Interest Costs,5045341133
6404,FY 2021-22,Department of Finance,Main Estimates,Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,53132349
6405,FY 2021-22,Department of Finance,Main Estimates,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-4676879000
6406,FY 2021-22,Department of Finance,Main Estimates,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-1030231740
6407,FY 2021-22,Department of Finance,Main Estimates,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),15473939000
6408,FY 2021-22,Department of Finance,Main Estimates,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),43125784000
6409,FY 2021-22,Department of Finance,Main Estimates,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),20910789000
6410,FY 2021-22,Department of Finance,Main Estimates,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",42639121
6411,FY 2021-22,Department of Finance,Main Estimates,Purchase of Domestic Coinage,84000000
6412,FY 2021-22,Department of Finance,Main Estimates,Contributions to employee benefit plans,12942149
6413,FY 2021-22,Department of Finance,Main Estimates,Payments to International Development Association,423240000
6414,FY 2021-22,Department of Finance,Main Estimates,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),4379878578
6415,FY 2021-22,Department of Finance,Main Estimates,Salary and Motor Car Allowance,92500
6416,FY 2021-22,Department of Finance,Main Estimates,Interest on Unmatured Debt,15824892341
6417,FY 2021-22,Department of Fisheries and Oceans,Main Estimates,Contributions to employee benefit plans,168289784
6418,FY 2021-22,Department of Fisheries and Oceans,Main Estimates,Salary and Motor Car Allowance,90500
6419,FY 2021-22,"Department of Foreign Affairs, Trade and Development",Main Estimates,Payments to International Financial Institutions - Direct payments,257361748
6420,FY 2021-22,"Department of Foreign Affairs, Trade and Development",Main Estimates,Payments under the Diplomatic Service (Special) Superannuation Act,900000
6421,FY 2021-22,"Department of Foreign Affairs, Trade and Development",Main Estimates,Contributions to employee benefit plans,118749437
